User text,Golden label,Parsed text,Correctness
Could you tell me a bit more about what this is?,self,self,1
What is the prediction for ID 7?,filter id 7 and predict,filter id 7 and predict,1
show me an adversarial example for the instance with id 1,filter id 1 and adversarial,filter id 1 and adversarial,1
can you give me a prediction for a random data point?,randompredict,randompredict,1
tell me the language of testing data,data test_data_language,data test_data_language,1
what is the dataset called?,data train_data_source,data train_data_source,1
could you show me a random data point?,randompredict,randompredict,1
what is the chance that the data point with id 2191 is False,filter id 2191 and likelihood False,filter id 2191 and likelihood False,1
what is the f1 score on the evaluation data,score f1 evaluation,score f1 evaluation,1
please show what the gold labels are,label,label,1
how many data points are in the training data set,countdata,countdata,1
"For id 3, what is the probability?",filter id 3 and likelihood,filter id 3 and likelihood,1
"For the maximum id, what is the probability of being true?",filter id 3270 and likelihood true,filter id 3 and likelihood true,0
flip prediction class data point 73,filter id 73 and cfe,filter id 73 and cfe,1
which seven adjectives occur the most in the data?,keywords 7,keywords 7,1
please provide me with 4 examples that are similar to id 3,filter id 3 and similar 4,keywords 7,0
could you show me the predictions on all the data?,predict,predict,1
What can you do?,function,function,1
for 84 please show me the values of the features.,filter id 84 and show,filter id 84 and show,1
what are the three most frequent keywords?,keywords 3,keywords 3,1
what's the source of the training data?,data train_data_source,data train_data_source,1
what is your prediction for id 0?,filter id 0 and predict,filter id 0 and predict,1
shed light on id 0 in simple terms,filter id 0 and rationalize,filter id 0 and rationalize,1
shed light on id 610 in simple terms,filter id 610 and rationalize,filter id 610 and rationalize,1
explain your judgement of id 1,filter id 1 and nlpattribute all,filter id 1 and nlpattribute all,1
show me id 2,filter id 2 and show,filter id 2 and show,1
interpret id 2,filter id 2 and rationalize,filter id 2 and rationalize,1
explain how id 2 uses slur words,filter id 2 and rationalize,filter id 2 and rationalize,1
show me some data you predict incorrectly,mistake sample,mistake sample,1
explain your judgement of id 6,filter id 6 and rationalize,filter id 6 and nlpattribute all,1
kindly generate a new variant based on id 0,filter id 0 and augment,filter id 0 and augment,1
generate a natural language explanation for id 1337,filter id 1337 and rationalize,filter id 1337 and rationalize,1
what are some data points you get incorrect?,mistake sample,mistake sample,1
probability of id 1337 predicted offensive?,filter id 1337 and likelihood offensive,filter id 1337 and likelihood offensive,1
give me the accuracy on the training data,score accuracy training,score accuracy training,1
explain how to use you,self,self,1
rationalize item 42,filter id 42 and rationalize,filter id 42 and rationalize,1
show the prediction of id 448,filter id 448 and predict,filter id 448 and predict,1
show how often which target label appears in the entire dataset,label,countdata,0
list all ids,show,countdata,0
"For id 9, rationalize",rationalize,filter id 9 and rationalize,1
for 1 please show me the values of the features.,filter id 1 and show,filter id 84 and show,0
show me id 1,filter id 1 and show,filter id 1 and show,1
show me id 0,filter id 0 and show,filter id 0 and show,1
show me 5 data points that are analogous to id 1,filter id 1 and similar 5,filter id 1 and similar 5,1
data points most similar to id 0,filter id 0 and similar,filter id 1 and similar 5,0
show me most similar ids to number 0,filter id 0 and similar,filter id 1 and similar 5,0
please retrieve an example that is similar to id 0,filter id 0 and similar 1,filter id 1 and similar 5,0
please retrieve an example that is similar to id 2,filter id 2 and similar,filter id 2 and similar,1
can i see an instance modification from id 2,filter id 2 and augment,filter id 2 and similar,0
can you display the instance with id 807,filter id 807 and show,filter id 807 and show,1
where does training data come from,data train_data_source,data train_data_source,1
probability of id 1309 predicted dummy?,filter id 1309 and likelihood,filter id 1309 and likelihood,1
give a rationale for id 0,filter id 0 and rationalize,filter id 0 and rationalize,1
give a rationale for id 2,filter id 2 and rationalize,filter id 2 and rationalize,1
how accurate are you in predicting the class inform?,score default inform,score default inform,1
what does instance with id 184 need to do to change the prediction?,filter id 184 and cfe,filter id 184 and cfe,1
i'd like to see a model deception for the instance with id 2,filter id 2 and adversarial,filter id 2 and adversarial,1
predict one instance from the data at random,randompredict,randompredict,1
show me data the model gets wrong,mistake sample,mistake sample,1
what are the labels for all the data,label,label,1
keywords,keywords all,keywords all,1
create perturbation of id 2,filter id 2 and augment,filter id 2 and rationalize,1
help me understand 2,filter id 2 and rationalize,filter id 2 and rationalize,1
show me id 1337,filter id 1337 and show,filter id 1337 and show,1
interpret this id for me,filter id 1337 and rationalize,self,0
interpret id 1337 for me,filter id 1337 and rationalize,filter id 1337 and rationalize,1
explain id 1025 to me,filter id 1025 and nlpattribute all,filter id 1025 and nlpattribute all,1
explain id 1025 to me using natural language,filter id 1025 and rationalize,filter id 1025 and rationalize,1
show 3 similar instances to id 1337,filter id 1337 and similar 3,filter id 1337 and similar 3,1
show 3 similar instances to id 1025,filter id 1025 and similar 3,filter id 1025 and similar 3,1
what is the way to change the prediction for the data point with the id number 1025,filter id 1025 and cfe,filter id 1025 and cfe,1
what is the way to change the prediction for the data point with the id number 2,filter id 2 and cfe,filter id 2 and cfe,1
can you generate an adversarial example for instance 1025,adversarial,filter id 1025 and adversarial,1
can you generate an adversarial example for instance 2,filter id 2 and adversarial,filter id 2 and adversarial,1
